               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.019836,           0.0091427,                   0,             0.98012,             0.97294,             0.98964,             0.88458,            0.011799,           0.0031905,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.019879,           0.0092929,                   0,             0.97796,             0.97632,             0.99004,             0.88518,            0.011993,           0.0031607,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.019397,           0.0089737,                   0,             0.97867,             0.97753,             0.98991,             0.87892,            0.011788,            0.003172,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,             0.01914,           0.0092726,                   0,             0.98028,              0.9811,             0.99093,             0.88706,            0.011464,           0.0031489,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.018917,           0.0091988,                   0,             0.98214,             0.97238,             0.99081,             0.90028,            0.011149,            0.003067,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.019116,           0.0088181,                   0,               0.988,             0.97477,             0.99161,             0.89041,            0.011429,           0.0030643,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.019107,           0.0086621,                   0,             0.98416,             0.98099,              0.9909,             0.90122,            0.011411,           0.0030513,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.019047,           0.0089382,                   0,             0.97731,             0.98586,             0.98921,             0.89961,            0.011077,           0.0030134,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.018522,           0.0088353,                   0,             0.98651,             0.98139,             0.99228,             0.89845,            0.011215,           0.0029847,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.019836,           0.0089166,                   0,             0.98625,             0.98066,             0.99061,             0.89254,             0.01115,           0.0030273,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.018623,           0.0088216,                   0,             0.97852,              0.9783,             0.99021,             0.89095,              0.0114,           0.0030529,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.018468,           0.0087078,                   0,             0.98052,             0.98421,               0.991,             0.89738,            0.011158,           0.0030376,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.018376,            0.008566,                   0,             0.98538,               0.985,             0.99128,             0.89496,            0.010975,           0.0029777,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.017913,           0.0086613,                   0,              0.9805,             0.97908,             0.98986,             0.90711,            0.010637,            0.002935,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.018796,           0.0086613,                   0,             0.98661,             0.98066,              0.9912,             0.90317,             0.01076,           0.0029594,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.018163,           0.0085708,                   0,             0.98404,             0.98106,             0.99032,             0.90976,            0.010674,           0.0028624,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.018339,           0.0085637,                   0,              0.9826,              0.9779,             0.99042,             0.90379,            0.010608,           0.0029557,                   0,           0.0089704,           0.0089704,           0.0089704
