               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.04789,            0.011684,                   0,             0.87835,             0.71429,             0.80189,              0.4264,            0.040945,            0.004718,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.055158,            0.010132,                   0,             0.70797,             0.61905,             0.68703,              0.2873,            0.044544,           0.0046945,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.058152,            0.010675,                   0,             0.71963,             0.74603,              0.7295,             0.42688,            0.035565,           0.0048264,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.053334,           0.0097982,                   0,             0.58923,              0.7619,             0.63398,             0.25635,            0.044846,           0.0045864,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.051141,            0.010595,                   0,             0.62468,             0.71332,             0.62557,             0.35598,            0.041068,            0.004519,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.046929,            0.010781,                   0,             0.80014,              0.7619,             0.72324,             0.31919,            0.039305,           0.0044306,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.044062,            0.010996,                   0,             0.77964,              0.7619,             0.75119,             0.41654,            0.034001,           0.0044683,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042466,            0.011483,                   0,             0.73598,             0.79648,             0.72167,             0.37688,            0.034164,           0.0044132,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.042167,            0.011177,                   0,             0.75964,              0.8254,             0.76192,              0.4555,            0.029503,           0.0043911,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040188,            0.012049,                   0,             0.80404,             0.85714,             0.76649,             0.46958,            0.027398,            0.004338,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.040771,            0.010206,                   0,             0.69439,             0.85714,             0.70014,             0.32249,            0.037719,           0.0042645,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.047217,            0.011103,                   0,             0.77983,             0.84332,             0.79042,             0.48867,            0.032954,           0.0041789,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.041263,            0.010028,                   0,             0.85713,             0.85702,             0.82257,             0.41883,              0.0324,           0.0041783,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.044778,           0.0097944,                   0,             0.87477,             0.88889,             0.82865,             0.48942,             0.02861,           0.0042261,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038134,            0.010814,                   0,             0.87243,             0.86851,             0.85193,             0.55023,              0.0294,           0.0041476,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.041397,            0.010586,                   0,             0.89041,              0.9028,              0.8705,             0.58287,            0.026448,           0.0040135,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.03726,            0.009548,                   0,             0.84843,             0.87302,             0.87102,             0.60269,            0.024755,           0.0040111,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.041127,            0.010934,                   0,             0.83738,             0.89912,             0.84215,             0.53525,            0.032073,           0.0039639,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.04224,             0.01024,                   0,             0.86306,             0.90039,             0.86996,             0.61076,            0.026429,           0.0039232,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.041529,            0.011088,                   0,             0.85965,             0.90476,             0.87008,             0.51942,             0.02989,           0.0039524,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037194,           0.0092034,                   0,             0.86607,             0.85714,             0.86101,             0.57859,            0.024964,            0.003877,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.038801,            0.011733,                   0,             0.87239,             0.86817,             0.86598,             0.61336,            0.024643,           0.0038737,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.041265,           0.0082116,                   0,             0.81834,             0.85807,             0.86177,             0.63325,            0.025947,           0.0038834,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.038606,           0.0090307,                   0,             0.84831,             0.87302,             0.88796,             0.56251,            0.026522,           0.0039124,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.034775,            0.010864,                   0,             0.88356,             0.84127,             0.88995,             0.65411,            0.023169,            0.003897,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.041328,           0.0097855,                   0,             0.85993,             0.84127,             0.88757,             0.52689,            0.026277,           0.0039396,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.042161,            0.010071,                   0,             0.87145,             0.87302,             0.89928,             0.67437,            0.020775,           0.0038968,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.033914,             0.01072,                   0,             0.85496,             0.87302,              0.8974,             0.62393,            0.023912,           0.0039068,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.036036,           0.0091417,                   0,             0.86269,             0.87302,             0.90008,             0.62784,            0.021293,           0.0038987,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.032626,           0.0094658,                   0,              0.8501,              0.9002,             0.90112,              0.5781,            0.023831,           0.0039577,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03475,           0.0095163,                   0,              0.8605,             0.90476,             0.90682,              0.6642,            0.020983,           0.0039801,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.036571,             0.01002,                   0,              0.8634,             0.90296,             0.90553,             0.65953,            0.022457,           0.0038998,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031266,           0.0090092,                   0,             0.86115,             0.90476,             0.90657,             0.69489,            0.021163,           0.0038312,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.032405,            0.010655,                   0,             0.86203,             0.90476,             0.90992,             0.57655,            0.024645,           0.0039066,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.031275,           0.0093286,                   0,             0.85712,             0.90476,             0.90899,              0.6934,            0.020139,           0.0037912,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.0311,            0.010496,                   0,             0.85907,             0.90476,             0.91062,             0.69724,            0.020141,           0.0038128,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.030132,           0.0093118,                   0,             0.84454,             0.90476,             0.91007,             0.70811,            0.019483,           0.0037237,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.025893,            0.009178,                   0,             0.81792,             0.92698,             0.90762,             0.63802,            0.021254,           0.0037144,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.027271,           0.0093354,                   0,              0.8863,              0.8662,             0.92155,             0.74449,            0.018497,           0.0036584,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.029849,           0.0095719,                   0,              0.8263,             0.90612,             0.92091,             0.74897,             0.01823,           0.0036303,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.025248,           0.0087476,                   0,              0.8387,             0.92063,              0.9223,             0.72923,            0.018505,           0.0036317,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.026416,           0.0077551,                   0,             0.84249,             0.93395,             0.91942,             0.69848,            0.018938,           0.0035892,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.029077,           0.0096491,                   0,             0.85462,             0.93313,              0.9227,             0.74068,            0.017157,           0.0035528,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030855,           0.0081395,                   0,             0.85464,             0.93331,             0.92219,             0.75374,            0.017021,           0.0035559,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.027752,           0.0094025,                   0,             0.86443,             0.92063,             0.92254,             0.76119,            0.015981,           0.0035425,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02647,            0.009441,                   0,             0.86975,             0.90476,             0.92376,             0.74229,            0.016132,           0.0035054,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.027208,           0.0082421,                   0,             0.86964,             0.90476,             0.92553,             0.75624,            0.015989,           0.0034865,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.023404,           0.0074987,                   0,             0.85363,              0.9258,             0.92396,             0.73336,            0.016795,            0.003485,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.029189,           0.0093444,                   0,              0.8634,             0.93651,             0.92644,             0.73089,            0.016824,           0.0034846,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.027665,           0.0072199,                   0,             0.87186,             0.90476,             0.92881,             0.74676,             0.01634,           0.0034273,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.026386,           0.0082101,                   0,             0.88332,             0.90476,             0.93015,             0.77451,            0.014782,           0.0034084,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.026115,           0.0086661,                   0,             0.89182,             0.91604,             0.93164,             0.78141,            0.014484,           0.0033834,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029152,           0.0097687,                   0,             0.89211,             0.91876,             0.92848,             0.78185,            0.014555,            0.003371,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.030298,           0.0074615,                   0,             0.89225,             0.92063,             0.93384,             0.79225,            0.015009,           0.0033429,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.026495,           0.0098449,                   0,             0.89675,             0.92063,              0.9303,             0.80476,             0.01438,           0.0033215,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.025498,           0.0086124,                   0,              0.8986,             0.92063,             0.93587,             0.79275,             0.01479,           0.0033196,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.025893,           0.0093584,                   0,             0.90048,             0.92063,             0.93572,             0.79009,            0.014576,           0.0033126,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.025492,           0.0079572,                   0,             0.90288,             0.92063,             0.93542,              0.8151,            0.014032,           0.0032891,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.028578,           0.0086756,                   0,             0.90606,             0.91858,             0.93598,             0.80339,            0.014129,           0.0032933,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.023386,           0.0093343,                   0,             0.90588,             0.91673,             0.93648,             0.80366,            0.014033,           0.0032901,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.025665,           0.0085446,                   0,             0.90582,             0.91601,              0.9367,              0.8064,            0.013992,           0.0032909,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.026537,           0.0080867,                   0,             0.90567,             0.91444,             0.93693,             0.81457,            0.013647,           0.0032848,                   0,            0.000298,            0.000298,            0.000298
